"cmpgn_id","cmpgn_nm","cmpgn_ofer_id","copn_plcy_nm","cnts_prod_id","copn_use_sta_dt","copn_plcy_sta_dt","copn_plcy_end_dt","copn_cnt"
C2600JA,<오시리스> 할인쿠폰 프로모션,A1SA1020261000120652,"[오시리스 런칭] 영화 3,300원 할인",PPV 등,"20260528","20260421","20260531",1
C2600L6,<프로젝트 헤일메리> 런칭 안내 팝업 (5/7),,,PPV 등,,,,6334468
C2600J7,"지상파 월정액 3개월 내내 5,500원_5월 2차",A1CP1020261000120660,"[온가족특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,"20260524","20260422","20260531",57
C2600R1,JTBC 월정액 첫달 무료_6월 3차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,PM30000269,"20260621","20260119","20261231",288
C2600QR,"6월 성인 1+1 프로모션_추가 (6/12~14 구매자)",A1SA1020261000121168,"[1+1이벤트] 3,300원 할인 쿠폰",PPV 등,"20260618","20260609","20260731",182
C2600MK,"26년 5월_B tv+ 비플리_UI 541 이상_3차(~5/31)_1",A1CP1020261000120854,[가정의 달] B tv+ 12개월 50% 할인 (~5/31),PM30000107,"20260528","20260507","20260531",73
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1CP1020261000120865,[FREE PASS] B tv+ 1개월 무료_26년6월,PM30000107,"20260619","20260519","20260629",31
C2600PP,"지상파 월정액 첫달 3,300원_6월 3차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인",PM30000150,"20260616","20260526","20260630",95
C2600QP,"지상파 월정액 첫달 3,300원_6월 5차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인",PM30000150,"20260627","20260526","20260630",105
C2600TL,"7월 성인 1+1 프로모션 (7/1~7/10)",A1SA1020261000121370,"[1+1이벤트] 3,300원 할인 쿠폰",PPV 등,"20260704","20260626","20260731",278
C2600SA,SPOTV 6월 첫달무료_1차_0623,A1SA1020261000121164,[축구 이벤트] SPOTV Prime 1개월 무료,PM35000007,"20260623","20260609","20260630",112
C2600M8,<짱구> 할인쿠폰 프로모션,A1SA1020261000120863,"[짱구 런칭] 영화 5,500원 할인",PPV 등,"20260525","20260518","20260630",99
C2600NA,"26년 5월 B tv+ 할인 연장 캠페인_1주년 5,500원",A1CP1020261000120954,"[가입 유지 선물] B tv+ 월 5,500원 혜택 6개월 자동 연장_5월",PM30000107,"20260706","20260526","20260731",175
C2600PY,SPOTV 6월 첫달무료_1차_0611,A1SA1020261000121164,[축구 이벤트] SPOTV Prime 1개월 무료,PM35000007,"20260627","20260609","20260630",97
C2600TM,<신의 악단> 할인쿠폰 프로모션,A1SA1020261000121384,"[신의 악단 런칭] 영화 3,300원 할인",PPV 등,"20260707","20260630","20260731",29
C2600WK,JTBC 월정액 3개월 70% 할인_7월 3차,A1SA1020261000121374,[쿨썸머 특가] JTBC 월정액 3개월 내내 70% 할인,PM30000269,"20260726","20260629","20260731",17
C2600WC,"지상파 월정액 3개월 5,500원_7월 3차",A1CP1020261000121373,"[쿨썸머 특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,"20260731","20260629","20260731",42
C2600SG,"CJ ENM 월정액 3개월 5,500원_7월 1차",A1CP1020261000121358,"[쿨썸머 특가] CJ ENM 월정액 3개월 내내 월 5,500원",PM30000154,"20260706","20260622","20260731",63
C2600R6,<슈퍼 마리오 갤럭시> 할인쿠폰 프로모션,A1SA1020261000120961,"[슈퍼마리오 갤럭시 런칭] 영화 3,300원 할인",PPV 등,"20260628","20260529","20260623",18
C2600PS,"26년 6월_B tv+ 파격할인_UI 541 이상_2",A1CP1020261000120874,"[72시간 한정] B tv+ 12개월 월 5,500원 혜택",PM30000107,"20260614","20260526","20260614",101
C2600SA,SPOTV 6월 첫달무료_1차_0623,A1SA1020261000121164,[축구 이벤트] SPOTV Prime 1개월 무료,PM35000007,"20260629","20260609","20260630",61
C2600NH,<리 크로닌의 미이라> 할인쿠폰 프로모션,A1SA1020261000120855,"[리 크로닌의 미이라] 영화 3,300원 할인",PPV 등,"20260606","20260507","20260630",55
C2600UD,"26년 7월_B tv+ 비플리_UI 541 이상_쿠폰&배너_2",A1CP1020261000121365,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),PM30000107,"20260729","20260624","20260731",51
C2600TO,<마이클> 할인쿠폰 프로모션,A1SA1020261000121261,"[마이클 런칭] 영화 3,300원 할인",PPV 등,"20260713","20260616","20260815",23
C2600S5,SPOTV 6월 첫달무료_1차_0622,A1SA1020261000121164,[축구 이벤트] SPOTV Prime 1개월 무료,PM35000007,"20260626","20260609","20260630",39
C2600Q5,<스위트 홈: 진격의 거인> 할인쿠폰 프로모션,A1SA1020261000121160,"[스위트 홈: 진격의 거인 런칭] 영화 3,300원 할인",PPV 등,"20260616","20260605","20260731",12
C2600TH,<살목지> 할인쿠폰 프로모션,A1SA1020261000121380,"[살목지 런칭] 영화 3,300원 할인",PPV 등,"20260713","20260629","20260731",8
C2600WF,<군체[예약구매]> 할인쿠폰 프로모션,A1SA1020261000121562,"[군체 예약] 영화 4,400원 할인",PPV 등,"20260721","20260716","20260831",4
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1SA1020261000120869,[FREE PASS] SPOTV 프라임패키지 1개월 무료_26년6월,PM35000007,"20260607","20260519","20260629",12
C2600PN,JTBC 월정액 첫달 무료_6월 2차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,PM30000269,"20260530","20260119","20261231",5
C2600N5,(일회성) 6월 쿠폰팩 GCP(5/1~5/23가입)_TB,A1CP1020261000120865,[FREE PASS] B tv+ 1개월 무료_26년6월,PM30000107,"20260618","20260519","20260629",5
C2600O7,"2606_캐치온 해지방어_B tv+ Cross-sell",A1CP1020261000120958,[비밀 특가] B tv+ 1개월 100원,PM30000107,"20260619","20260528","20260712",2
C2600S6,토이스토리 소장용 패키지 프로모션_수정,A1SA1020261000121259,"[토이 스토리 패키지 구매] 영화 5,500원 할인",PPV 등,"20260708","20260615","20260731",14
