"cmpgn_id","cmpgn_nm","cmpgn_ofer_id","copn_plcy_nm","pt_dt","cl","copn_plcy_sta_dt","copn_plcy_end_dt","cnts_prod_id","cnt"
C2600UV,모아나 소장용 패키지 프로모션 (7/10),A1SA1020261000121465,"[모아나 패키지 구매] 영화 5,500원 할인","20260729",SMART,"20260708","20260831",PPV 등,12
C2600TM,<신의 악단> 할인쿠폰 프로모션,A1SA1020261000121384,"[신의 악단 런칭] 영화 3,300원 할인","20260712",SMART,"20260630","20260731",PPV 등,29
C2600OB,"26년 6월_B tv+ 비플리_UI 541 이상_1차 쿠폰(~6/7) & 배너(~6/30)_3",A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,"20260607",SMART,"20260520","20260630",PM30000107,235
C2600SG,"CJ ENM 월정액 3개월 5,500원_7월 1차",A1CP1020261000121358,"[쿨썸머 특가] CJ ENM 월정액 3개월 내내 월 5,500원","20260713",SMART,"20260622","20260731",PM30000154,863
C2600VD,"CJ ENM 월정액 3개월 5,500원_7월 2차",A1CP1020261000121358,"[쿨썸머 특가] CJ ENM 월정액 3개월 내내 월 5,500원","20260718",SMART,"20260622","20260731",PM30000154,383
C2600TF,"지상파 월정액 3개월 5,500원_7월 1차",A1CP1020261000121373,"[쿨썸머 특가] 지상파 월정액 3개월 내내 월 5,500원","20260721",SMART,"20260629","20260731",PM30000150,242
C2600T7,<노멀> 할인쿠폰 프로모션,A1SA1020261000121162,"[노멀 런칭] 영화 3,300원 할인","20260716",SMART,"20260605","20260731",PPV 등,30
C2600QR,"6월 성인 1+1 프로모션_추가 (6/12~14 구매자)",A1SA1020261000121168,"[1+1이벤트] 3,300원 할인 쿠폰","20260619",SMART,"20260609","20260731",PPV 등,11
C2600Q5,<스위트 홈: 진격의 거인> 할인쿠폰 프로모션,A1SA1020261000121160,"[스위트 홈: 진격의 거인 런칭] 영화 3,300원 할인","20260704",SMART,"20260605","20260731",PPV 등,31
C2600KM,"지상파 월정액 3개월 내내 5,500원_5월 3차",A1CP1020261000120660,"[온가족특가] 지상파 월정액 3개월 내내 월 5,500원","20260522",SMART,"20260422","20260531",PM30000150,62
C2600WC,"지상파 월정액 3개월 5,500원_7월 3차",A1CP1020261000121373,"[쿨썸머 특가] 지상파 월정액 3개월 내내 월 5,500원","20260712",SMART,"20260629","20260731",PM30000150,2
C2600O7,"2606_캐치온 해지방어_B tv+ Cross-sell",A1CP1020261000120958,[비밀 특가] B tv+ 1개월 100원,"20260610",SMART,"20260528","20260712",PM30000107,8
C2600LA,"26년 5월_B tv+ 비플리_UI 541 이상_1차(~5/17)_4(1770)",DummyOffer,,,SMART,,,PPV 등,792879
C2600K8,<몽타주: 6일간의 추격> 타겟 프로모션_40%_0430,A1SA1020261000120748,[즉시 할인] 몽타주: 6일간의 추격 40% 할인쿠폰,"20260502",SMART,"20260403","20260430",PPV 등,12685
C2600PP,"지상파 월정액 첫달 3,300원_6월 3차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인",,SMART,"20260526","20260630",PM30000150,77102
C2600T3,(주기성) 콜센터 시청유도_TB_노출종료,DummyOffer,,,SMART,,,PPV 등,4872
C2600PP,"지상파 월정액 첫달 3,300원_6월 3차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인","20260601",SMART,"20260526","20260630",PM30000150,1599
C2600MK,"26년 5월_B tv+ 비플리_UI 541 이상_3차(~5/31)_1",A1CP1020261000120854,[가정의 달] B tv+ 12개월 50% 할인 (~5/31),"20260527",SMART,"20260507","20260531",PM30000107,21306
C2600M8,<짱구> 할인쿠폰 프로모션,A1SA1020261000120863,"[짱구 런칭] 영화 5,500원 할인","20260526",SMART,"20260518","20260630",PPV 등,228
C2600QP,"지상파 월정액 첫달 3,300원_6월 5차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인","20260618",SMART,"20260526","20260630",PM30000150,3833
C2600MZ,"2605_무빙 연장 동의_TV팝업_9차",,,,SMART,,,PPV 등,4266
C2600PZ,SPOTV 6월 첫달무료_1차_0612,A1SA1020261000121164,[축구 이벤트] SPOTV Prime 1개월 무료,"20260615",SMART,"20260609","20260630",PM35000007,4112
C2600UC,"26년 7월_B tv+ 비플리_UI 541 이상_쿠폰&배너_1",A1CP1020261000121365,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),"20260715",SMART,"20260624","20260731",PM30000107,1638
C2600UC,"26년 7월_B tv+ 비플리_UI 541 이상_쿠폰&배너_1",A1CP1020261000121365,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),"20260727",SMART,"20260624","20260731",PM30000107,600
C2600UV,모아나 소장용 패키지 프로모션 (7/10),A1SA1020261000121465,"[모아나 패키지 구매] 영화 5,500원 할인","20260719",SMART,"20260708","20260831",PPV 등,44
C2600UE,"26년 7월_B tv+ 비플리_UI 541 이상_쿠폰&배너_3",A1CP1020261000121365,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),"20260713",SMART,"20260624","20260731",PM30000107,696
C2600LW,수요1+1무비쿠폰(5월 쿠폰발급),A1PR1020261000120851,[연휴무비쿠폰] 20% 할인(5천원 이상 사용),"20260523",SMART,"20260408","20260525",PPV 등,183
C2600TA,[주기성] 26년 7월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000121366,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),"20260628",SMART,"20260624","20260731",PM30000107,15
C2600NP,<모탈 컴뱃2> 할인쿠폰 프로모션,A1SA1020261000120959,"[모탈컴뱃2 런칭] 영화 5,500원 할인","20260615",SMART,"20260528","20260615",PPV 등,15
C2600TA,[주기성] 26년 7월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000121366,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),"20260727",SMART,"20260624","20260731",PM30000107,9
C2600NI,<시에라 마드레: 카르텔 전쟁> 할인쿠폰 프로모션,A1SA1020261000120862,"[시에라 마드레: 카르텔 전쟁 런칭] 영화 5,500원 할인","20260624",SMART,"20260518","20260630",PPV 등,1
C2600MJ,[팝업] 밸류애드팀 STB 교체(26.5.25)_4-1차,,,,SMART,,,PPV 등,296200
C2600R1,JTBC 월정액 첫달 무료_6월 3차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,"20260626",SMART,"20260119","20261231",PM30000269,44609
C2600M8,<짱구> 할인쿠폰 프로모션,A1SA1020261000120863,"[짱구 런칭] 영화 5,500원 할인","20260605",SMART,"20260518","20260630",PPV 등,351
C2600O0,"26년 6월_B tv+ 짝수달 유료전환 테스트_UI 552 이상",A1CP1020261000120870,[6월 한정] B tv+ 첫달 무료,"20260607",SMART,"20260520","20260630",PM30000107,16537
C2600WJ,"CJ ENM 월정액 3개월 5,500원_7월 3차",A1CP1020261000121358,"[쿨썸머 특가] CJ ENM 월정액 3개월 내내 월 5,500원",,SMART,"20260622","20260731",PM30000154,185678
C2600VH,"26년 7월_B tv+ KBS 이승철 콘서트_타임딜_UI 541 이상_1",A1CP1020261000121559,"[이승철 특가] B tv+ 월 5,500원 이용 혜택 (최대 12개월)","20260720",SMART,"20260714","20260722",PM30000107,658468
C2600TT,<현상수배> 타겟 프로모션_30%_0702,A1SA1020261000121372,[즉시 할인] 현상수배 30% 할인쿠폰,"20260704",SMART,"20260626","20260731",PPV 등,9388
C2600TI,JTBC 월정액 3개월 70% 할인_7월 2차,A1SA1020261000121374,[쿨썸머 특가] JTBC 월정액 3개월 내내 70% 할인,"20260729",SMART,"20260629","20260731",PM30000269,16779
C2600QM,[보정용][주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_1,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,"20260615",SMART,"20260520","20260630",PM30000107,1153
C2600QN,"지상파 월정액 첫달 3,300원_6월 4차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인","20260608",SMART,"20260526","20260630",PM30000150,587
C2600QP,"지상파 월정액 첫달 3,300원_6월 5차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인","20260604",SMART,"20260526","20260630",PM30000150,495
C2600QQ,통합 월정액 첫달 무료_6월 4차,A1CP1020261000120948,[이용 감사 혜택] 주요 월정액 1개월 100% 할인 (택1),"20260603",SMART,"20260526","20260630",PM30000176,849
C2600XQ,통합 월정액 3개월 내내 80% 할인_8월 2차,A1CP1020261000121658,[쿨썸머 특가] 주요 월정액 3개월 내내 80% 할인 (택1),"20260721",SMART,"20260720","20260731",PM30000176,20
C2600MI,JTBC 월정액 첫달 무료_6월 1차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,"20260511",SMART,"20260119","20261231",PM30000269,54
C2600S6,토이스토리 소장용 패키지 프로모션_수정,A1SA1020261000121259,"[토이 스토리 패키지 구매] 영화 5,500원 할인","20260705",SMART,"20260615","20260731",PPV 등,188
C2600TO,<마이클> 할인쿠폰 프로모션,A1SA1020261000121261,"[마이클 런칭] 영화 3,300원 할인","20260722",SMART,"20260616","20260815",PPV 등,84
C2600JZ,"JTBC 월정액 6개월 약정 3,300원_5월 2차",A1CP1020261000120658,"[온가족특가] JTBC 6개월 약정 기간 내내 월 3,300원","20260516",SMART,"20260421","20260531",PM30000269,349
C2600NP,<모탈 컴뱃2> 할인쿠폰 프로모션,A1SA1020261000120959,"[모탈컴뱃2 런칭] 영화 5,500원 할인","20260604",SMART,"20260528","20260615",PPV 등,36
C2600QU,"6월 성인 1+1 프로모션 (6/11~6/20)_수정",A1SA1020261000121168,"[1+1이벤트] 3,300원 할인 쿠폰","20260701",SMART,"20260609","20260731",PPV 등,8
C2600O8,[주기성] 26년 6월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,"20260622",SMART,"20260520","20260630",PM30000107,13
C2600JE,<캣 앤 독> 할인쿠폰 프로모션,A1SA1020261000120747,"[캣 앤 독 런칭] 영화 5,500원 할인","20260513",SMART,"20260428","20260531",PPV 등,2
C2600NL,<쉘터> 할인쿠폰 프로모션,A1SA1020261000120861,"[쉘터 런칭] 영화 3,300원 할인","20260615",SMART,"20260518","20260630",PPV 등,3
C2600KO,<폭탄> 할인쿠폰 프로모션,A1SA1020261000120751,"[폭탄 런칭] 영화 5,500원 할인","20260512",SMART,"20260430","20260531",PPV 등,2
C2600NL,<쉘터> 할인쿠폰 프로모션,A1SA1020261000120861,"[쉘터 런칭] 영화 3,300원 할인","20260612",SMART,"20260518","20260630",PPV 등,2
C2600JR,[팝업] B tv All+(조합형)(26.5.05)_1-1차,,,,SMART,,,PPV 등,573291
C2600LX,"26년 5월_B tv+ 비플리_UI 541 이상_2차(~5/25)_1(1770)",A1CP1020261000120859,[가정의 달] B tv+ 12개월 50% 할인 (~5/25),"20260517",SMART,"20260515","20260525",PM30000107,10367
C2600UJ,[보정용] 26년 7월_B tv+ 비플리_UI 541 이상_쿠폰&배너_3,DummyOffer,,,SMART,,,PPV 등,396746
C2600M6,JTBC 월정액 첫달 무료_5월 2차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,"20260613",SMART,"20260119","20261231",PM30000269,667
C2600S5,SPOTV 6월 첫달무료_1차_0622,A1SA1020261000121164,[축구 이벤트] SPOTV Prime 1개월 무료,"20260619",SMART,"20260609","20260630",PM35000007,16222
C2600UD,"26년 7월_B tv+ 비플리_UI 541 이상_쿠폰&배너_2",A1CP1020261000121365,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),"20260707",SMART,"20260624","20260731",PM30000107,13463
C2600OY,통합 월정액 첫달 무료_6월 2차,A1CP1020261000120948,[이용 감사 혜택] 주요 월정액 1개월 100% 할인 (택1),"20260620",SMART,"20260526","20260630",PM30000176,1627
C2600S7,토이스토리 소장용 패키지 프로모션 (6/18~6/21 발급),A1SA1020261000121259,"[토이 스토리 패키지 구매] 영화 5,500원 할인","20260623",SMART,"20260615","20260731",PPV 등,70
