"cmpgn_id","cmpgn_nm","copn_plcy_num","copn_plcy_nm","cnts_prod_id","prod_nm","copn_yn","cmpgn_svc_cnt","copn_use_cnt","copn_use_sta_dt","toast_yn","toast_cmpgn_cnt","toast_show_cnt","toast_click_cnt","toast_go_cnt","toast_exit_cnt","toast_show_dt","smart_cmpgn_cnt","smart_show_cnt","smart_click_cnt","smart_go_cnt","smart_exit_cnt"
C2600O1,"2606_주기성_전환동의 띠배너",,-,,,0,28252,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600O2,"2606_주기성_전환동의 띠배너 편성제외",,-,,,0,1381,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600O3,"2605_무빙 연장 동의_TV팝업_10차",,-,,,0,4205,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600O6,"26년 6월_B tv+ 비플리_UI 541 이상_1차 쿠폰(~6/7) & 배너(~6/30)_1",A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,B tv+,1,793423,1910,"20260713",0,0,0,0,0,0,,583706,583693,548384,82897,542987
C2600O7,"2606_캐치온 해지방어_B tv+ Cross-sell",A1CP1020261000120958,[비밀 특가] B tv+ 1개월 100원,PM30000107,B tv+,1,515,27,"20260707",1,511,159,99,5,94,"20260701",303,303,238,29,222
C2600O7,"2606_캐치온 해지방어_B tv+ Cross-sell",,-,,,0,511,0,,1,511,159,99,5,94,"20260701",0,0,0,0,0
C2600O8,[주기성] 26년 6월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,B tv+,1,275390,363,"20270711",0,0,0,0,0,0,,2283,2283,1737,235,1619
C2600O9,"26년 6월_B tv+ 비플리_UI 541 이하_배너",DummyOffer,-,,,1,275576,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600OA,"26년 6월_B tv+ 비플리_UI 541 이상_1차 쿠폰(~6/7) & 배너(~6/30)_2",A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,B tv+,1,796523,728,"20260716",0,0,0,0,0,0,,608952,608946,566929,81306,561000
C2600OB,"26년 6월_B tv+ 비플리_UI 541 이상_1차 쿠폰(~6/7) & 배너(~6/30)_3",A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,B tv+,1,320604,108,"20260628",0,0,0,0,0,0,,297078,297077,283083,31182,281389
